Year,Country,Region,Artist,Song,Artist.gender,Group.Solo,Place,Points,Is.Final,Song.In.English,Song.Quality,Normalized.Points,energy,duration,acousticness,danceability,tempo,speechiness,key,liveness,time_signature,mode,loudness,valence,Happiness
2009,Lithuania,Former Socialist Bloc,Sasha Son ,Love,Male,Solo,23,23,1,1,0.651052813,0.009441708,0.67825829,183.18476,0.563170101,0.598360426,102.984,0.027817064,9,0.078643134,3,0,-9.082,0.482058644,6.148232323
2009,Israel,Independent,Noa and Mira Awad ,There Must Be Another Way,Female,Group,16,53,1,1,1.32362701,0.021756979,0.79409327,179.87873,0.068711032,0.60454201,105.972,0.024996099,8,0.084805072,4,1,-6.059,0.426208823,5.141886792
2009,France,Western Europe,Patricia Kaas ,Et s'il fallait le faire,Female,Solo,8,107,1,0,2.586430891,0.043924466,0.574627616,227.97333,0.654077926,0.367344227,124.005,0.043750964,1,0.92390505,4,1,-8.655,0.292869794,5.069761905
2009,Sweden,Scandinavia,Malena Ernman ,La voix,Female,Solo,21,33,1,1,0.864871628,0.013546798,0.672745987,178.4566,0.119194331,0.513201684,128.021,0.034854566,10,0.143707679,4,1,-4.536,0.206492786,5.502692308
2009,Croatia,Former Yugoslavia,Igor Cukrov feat. Andrea ,Lijepa Tena,Both,Group,18,45,1,0,0.931013526,0.018472906,0.733959053,182.83057,0.323643438,0.590591969,116.107,0.03240643,1,0.079321964,4,0,-4.427,0.344540864,NA
2009,Portugal,Western Europe,Flor-de-Lis ,Todas as ruas do amor,Both,Group,15,57,1,0,1.394271929,0.023399015,0.60622164,253.46567,0.266773886,0.575143884,96.966,0.042615816,7,0.113279984,4,1,-7.303,0.331690218,4.976
2009,Iceland,Scandinavia,Yohanna,Is It True?,Female,Solo,2,218,1,1,5.223042076,0.089490969,0.648462298,182.08762,0.120636218,0.260856113,83.978,0.03031156,0,0.100348165,4,0,-8.122,0.263601829,5.215283019
2009,Greece,Western Europe,Sakis Rouvas ,This Is Our Night,Male,Solo,7,120,1,1,2.738873226,0.049261084,0.920414217,176.4712,0.006192431,0.628107957,127.92,0.064254649,6,0.174562379,4,0,-6.166,0.677572773,NA
2009,Armenia,Former Socialist Bloc,Inga and Anush ,Jan Jan,Female,Group,10,92,1,1,2.34373453,0.037766831,0.868097887,181.97333,0.368220787,0.6917233,86.271,0.099743133,4,0.356401741,3,0,-4.061,0.736495475,NA
2009,Russia,Former Socialist Bloc,Anastasiya Prikhodko ,Mamo,Female,Solo,11,91,1,0,1.960978858,0.037356322,0.948516275,170.56762,0.652044475,0.631655337,130.059,0.063436447,2,0.186244662,4,0,-4.202,0.650372973,NA
2009,Azerbaijan,Former Socialist Bloc,AySel and Arash ,Always,Both,Group,3,207,1,1,5.167522198,0.084975369,0.946863897,248.33415,0.024535623,0.729727633,134.982,0.155644479,6,0.120697795,4,1,-4.292,0.818512237,5.732191781
2009,Bosnia and Herzegovina,Former Yugoslavia,Regina ,Bistra voda,Male,Group,9,106,1,0,2.379636004,0.043513957,0.731082745,187.33823,0.504779184,0.547075543,75.976,0.034288808,9,0.096095682,4,1,-5.615,0.192152631,5.115454545
2009,Moldova,Former Socialist Bloc,Nelly Ciobanu ,Hora din Moldova,Female,Solo,14,69,1,1,1.630134149,0.028325123,0.881466737,177.35946,0.019632612,0.350776624,92.836,0.060701125,6,0.078511309,4,0,-4.548,0.495054137,5.251098901
2009,Malta,Western Europe,Chiara ,What If We,Female,Solo,22,31,1,1,0.705850576,0.01272578,0.37837442,181.80027,0.048060838,0.528326096,123.937,0.031054934,1,0.062293113,4,1,-8.226,0.478698633,5.481764706
2009,Estonia,Former Socialist Bloc,Urban Symphony ,R_ndajad,Female,Solo,6,129,1,0,3.200721265,0.052955665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.567272727
2009,Denmark,Scandinavia,Niels Brinck ,Believe Again,Male,Solo,13,74,1,1,1.888866907,0.030377668,0.827642825,187.39048,0.021043807,0.555140576,120.01,0.042390813,2,0.058421732,4,1,-5.084,0.594089789,NA
2009,Germany,Western Europe,Alex Swings Oscar Sings! ,Miss Kiss Kiss Bang,Male,Solo,20,35,1,1,0.976228195,0.014367816,0.892347857,182.40109,0.001235036,0.694713273,135.962,0.078531445,5,0.403086011,4,1,-6.328,0.412281318,5.670588235
2009,Turkey,Independent,Hadise ,DÈm Tek Tek,Female,Solo,4,177,1,1,4.27828614,0.072660099,0.793613278,185.34168,0.574425736,0.831569185,114.982,0.036309979,10,0.062217512,4,1,-6.503,0.772847844,NA
2009,Albania,Former Socialist Bloc,Kejsi Tola ,Carry Me in Your Dreams,Female,Solo,17,48,1,1,0.942503494,0.019704433,0.779777174,186.56608,0.00779384,0.669017464,127.996,0.048843963,11,0.068735852,4,1,-5.504,0.631781745,5.567608696
2009,Norway,Scandinavia,Alexander Rybak ,Fairytale,Male,Solo,1,387,1,1,9.475032644,0.158866995,0.686648351,183.89007,0.223642739,0.601437156,107.974,0.025387717,2,0.324601556,4,0,-6.585,0.464132107,5.327826087
2009,Ukraine,Former Socialist Bloc,Svetlana Loboda ,Be My Valentine,Female,Solo,12,76,1,1,1.642656941,0.031198686,0.911639848,181.06884,0.014511153,0.625690338,124.828,0.046310888,6,0.632591882,4,0,-4.786,0.699592674,NA
2009,Romania,Former Socialist Bloc,Elena ,The Balkan Girls,Female,Solo,19,40,1,1,0.902629964,0.016420361,0.919267643,179.97333,0.020698442,0.696327172,130.089,0.034788704,5,0.05181957,4,1,-4.835,0.380539302,5.940481928
2009,United Kingdom,Independent,Jade Ewen ,It's My Time,Female,Solo,5,173,1,1,4.453836097,0.071018062,0.499294628,197.47374,0.161320667,0.303260037,96.842,0.030022432,4,0.105617433,4,1,-6.903,0.120114072,5.506521739
2009,Finland,Scandinavia,Waldo's People ,Lose Control,Both,Group,25,22,1,1,0.573594238,0.009031199,0.972366692,182.16599,0.007420436,0.580143217,137.996,0.062795251,7,0.169707518,4,1,-5.088,0.702104924,NA
2009,Spain,Western Europe,Soraya Arnelas ,La noche es para mç,Female,Solo,23,23,1,1,0.348077345,0.009441708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,Romania,Former Socialist Bloc,Nico and Vlad,Pe-o margine de lume,Both,Group,20,45,1,0,1.068211391,0.018043304,0.630618113,180.06204,0.22659212,0.441085006,74.84,0.046370138,2,0.164640862,4,1,-6.447,0.184160882,NA
2008,United Kingdom,Independent,Andy Abraham,Even If,Male,Solo,25,14,1,1,0.607250213,0.005613472,0.927774105,224.07837,0.012286394,0.617001885,119.983,0.054777406,8,0.044049322,4,0,-6.657,0.642911663,5.366282723
2008,Albania,Former Socialist Bloc,Olta Boka,Zemr«n E Lam« Peng,Female,Solo,17,43,1,0,0.959554309,0.022052927,0.611160139,178.93687,0.107240486,0.388494092,88.152,0.02711932,8,0.233353488,7,1,-4.845,0.494869909,NA
2008,Germany,Western Europe,No Angels,Disappear,Female,Group,23,14,1,1,0.481072281,0.005613472,0.631108512,198.04844,0.007099463,0.707160165,122.768,0.057485775,8,0.10789733,4,1,-5.845,0.469569806,5.219626866
2008,Armenia,Former Socialist Bloc,Sirusho,"Qele, Qele",Female,Solo,4,198,1,1,4.632470303,0.0797915,0.756131788,214.18041,0.11228652,0.661919332,128.119,0.088690756,9,0.11276271,4,0,-6.312,0.585043663,NA
2008,Bosnia and Herzegovina,Former Yugoslavia,Laka,Poku_aj,Male,Solo,10,105,1,0,2.510534379,0.044105854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,Israel,Independent,Boaz Ma'uda,The Fire in Your Eyes,Male,Solo,9,124,1,1,2.907756126,0.049719326,0.490721338,180.57333,0.069585113,0.183718746,79.767,0.034735454,6,0.385549157,4,0,-6.277,0.169227092,NA
2008,Finland,Scandinavia,Teræsbetoni,Miss_ Miehet Ratsastaa,Male,Group,22,35,1,0,0.885662973,0.014033681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,Croatia,Former Yugoslavia,Kraljevi Ulice and 75 cents,Romanca,Both,Group,21,42,1,0,0.930762429,0.017642342,0.607757912,181.81333,0.137343722,0.71429546,124.084,0.165319698,0,0.107548011,4,1,-7.724,0.481029045,NA
2008,Poland,Former Socialist Bloc,Isis Gee,For Life,Female,Solo,24,14,1,1,0.25304231,0.005613472,0.705635746,180.84671,0.133519578,0.522679733,140.1,0.033604151,11,0.110737451,4,1,-8.026,0.380681189,5.629189189
2008,Iceland,Scandinavia,Euroband,This is My Life,Both,Group,14,64,1,1,1.574360392,0.025661588,0.906751576,245.89887,0.001435825,0.702358265,127.973,0.035226577,10,0.082490085,4,0,-8.194,0.732163952,NA
2008,Turkey,Independent,Mor ve _tesi,Deli,Male,Group,7,131,1,0,3.004663086,0.055332799,0.869777997,183.08163,0.03769674,0.386439188,151.107,0.055431692,4,0.170243569,4,0,-4.447,0.276184099,NA
2008,Portugal,Western Europe,V„nia Fernandes,Senhora do mar (Negras _guas),Female,Solo,13,69,1,0,1.729329311,0.027666399,0.557688792,184.83048,0.37618284,0.302826866,104.781,0.050622882,9,0.349508994,3,1,-6.542,0.15375409,NA
2008,Latvia,Former Socialist Bloc,Pirates of the Sea,Wolves of the Sea,Both,Group,12,83,1,1,1.98555248,0.033279872,0.884848053,184.20354,0.002813369,0.550279047,72.512,0.050560182,9,0.335802016,4,1,-11.77,0.387177551,5.28
